LV1 排序,LV1 English,LV1 簡中,LV1 繁中,LV2 排序,LV2 English,LV2 簡中,LV2 繁中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
1,Holiday 1,预留位 1,預留位 1,1.1,XXXXX,预留位,預留位,,,,,,
2,Holiday 2,预留位 2,預留位 2,2.1,XXXXX,预留位,預留位,,,,,,
3,Vegetables,蔬菜,蔬菜,3.1,XXXXX,预留位,預留位,,,,,,
3,Vegetables,蔬菜,蔬菜,3.2,Leaf Veggies,叶菜类,葉菜類,22,Leaf,葉菜類,30102201,Leaf Vegetable,葉菜類
3,Vegetables,蔬菜,蔬菜,3.3,Non-leaf Veggies,根茎果/芽苗,根莖果/芽苗,21,Root,根莖類,30102101,Root,根莖類
3,Vegetables,蔬菜,蔬菜,3.3,Non-leaf Veggies,根茎果/芽苗,根莖果/芽苗,32,Stem/Tuber Vegetable,莖類,30103201,Stem/Tuber Vegetable,莖類
3,Vegetables,蔬菜,蔬菜,3.3,Non-leaf Veggies,根茎果/芽苗,根莖果/芽苗,24,Botanical Fruit,果實瓜類,30102401,Botanical Fruit,果實瓜類
3,Vegetables,蔬菜,蔬菜,3.3,Non-leaf Veggies,根茎果/芽苗,根莖果/芽苗,28,Flower Vegetable,花菜類,30102801,Flower Vegetable,花菜類
3,Vegetables,蔬菜,蔬菜,3.3,Non-leaf Veggies,根茎果/芽苗,根莖果/芽苗,31,Seed/Sprout,種子類/芽苗類,30103101,Seed/Sprout,種子類/芽苗類
3,Vegetables,蔬菜,蔬菜,3.4,Bulbs/Spices/Herbs,辛香料/佐料,辛香料/佐料,29,Bulb,球莖類,30102901,Bulb,球莖類
3,Vegetables,蔬菜,蔬菜,3.4,Bulbs/Spices/Herbs,辛香料/佐料,辛香料/佐料,23,Spicy,調味類,30102301,Spicy,調味類
3,Vegetables,蔬菜,蔬菜,3.4,Bulbs/Spices/Herbs,辛香料/佐料,辛香料/佐料,30,Herb Vegetable,草本植物,30103001,Herb Vegetable,草本植物
3,Vegetables,蔬菜,蔬菜,3.5,Mushrooms,菌菇类,菌菇類,26,Mushroom,蘑菇類,30102601,Mushroom,蘑菇類
3,Vegetables,蔬菜,蔬菜,3.6,Organic Veggies,有机蔬菜,有機蔬菜,33,Organic Vegetable,有機蔬菜,30103301,Organic Vegetable,有機蔬菜
3,Vegetables,蔬菜,蔬菜,3.7,Packaged Veggies/Salads,包装蔬菜/沙拉,包裝蔬菜/沙拉,34,Prepared Vegetable,净菜類,30103401,Prepared Vegetable,净菜類
3,Vegetables,蔬菜,蔬菜,3.7,Packaged Veggies/Salads,包装蔬菜/沙拉,包裝蔬菜/沙拉,35,Salad,色拉,30103501,Salad,色拉
3,Vegetables,蔬菜,蔬菜,3.7,Packaged Veggies/Salads,包装蔬菜/沙拉,包裝蔬菜/沙拉,35,Salad,色拉,30103599,Produce dept. key,0
3,Vegetables,蔬菜,蔬菜,3.8,Grains/Nuts,谷物坚果,穀物堅果,27,Nut,堅果類,30102701,Nut,堅果類
3,Vegetables,蔬菜,蔬菜,3.8,Grains/Nuts,谷物坚果,穀物堅果,25,Grains/Legumes,穀物豆類,30102501,Grains/Legumes,穀物豆類
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,41,Cutted Flower,花束,30104101,Fresh Flower,鮮花
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,41,Cutted Flower,花束,30104102,Flower Bouquets,花束
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,42,Potted Plant,盆栽植物,30104201,Potted Flower ,盆栽花
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,42,Potted Plant,盆栽植物,30104202,Potted Plant,盆栽植物
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,42,Potted Plant,盆栽植物,30104203,Potted Fruit Tree,盆栽果樹
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,42,Potted Plant,盆栽植物,30104204,Potted Tree,盆栽樹
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,43,Garden Supplies,園藝用品,30104301,Garden Tool,園藝工具
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,43,Garden Supplies,園藝用品,30104302,Fertilizer,肥料
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,43,Garden Supplies,園藝用品,30104303,Accessories,配件
3,Vegetables,蔬菜,蔬菜,3.9,Flowers/Plants,鲜花/盆栽,鮮花/盆栽,43,Garden Supplies,園藝用品,30104304,Seeds,種子
4,Fruits,水果,水果,4.1,XXXXX,预留位,預留位,,,,,,
4,Fruits,水果,水果,4.2,Apples/Pears,苹果/梨,蘋果/梨,21,Apple,蘋果類,30202101,Domestic Apple,本地蘋果類
4,Fruits,水果,水果,4.2,Apples/Pears,苹果/梨,蘋果/梨,21,Apple,蘋果類,30202102,Imported Apple,进口蘋果類
4,Fruits,水果,水果,4.2,Apples/Pears,苹果/梨,蘋果/梨,28,Pears,梨類,30202801,Domestic Pears,本地梨類
4,Fruits,水果,水果,4.2,Apples/Pears,苹果/梨,蘋果/梨,28,Pears,梨類,30202802,Imported Pears,进口梨類
4,Fruits,水果,水果,4.3,Citrus/Bananas,柑橘/香蕉,柑橘/香蕉,22,Bananas,香蕉類,30202201,Domestic Bananas,本地香蕉類
4,Fruits,水果,水果,4.3,Citrus/Bananas,柑橘/香蕉,柑橘/香蕉,22,Bananas,香蕉類,30202202,Imported Bananas,进口香蕉類
4,Fruits,水果,水果,4.3,Citrus/Bananas,柑橘/香蕉,柑橘/香蕉,24,Citrus,柑橘類,30202401,Domestic Citrus,本地柑橘類
4,Fruits,水果,水果,4.3,Citrus/Bananas,柑橘/香蕉,柑橘/香蕉,24,Citrus,柑橘類,30202402,Imported Citrus,进口柑橘類
4,Fruits,水果,水果,4.4,Berries/Melons,莓果/瓜类,莓果/瓜類,23,Berries,漿果類,30202301,Domestic Berries,本地漿果類
4,Fruits,水果,水果,4.5,Berries/Melons,莓果/瓜类,莓果/瓜類,23,Berries,漿果類,30202302,Imported Berries,进口漿果類
4,Fruits,水果,水果,4.6,Berries/Melons,莓果/瓜类,莓果/瓜類,26,Melons,瓜類,30202601,Domestic Melons,本地瓜類
4,Fruits,水果,水果,4.7,Berries/Melons,莓果/瓜类,莓果/瓜類,26,Melons,瓜類,30202602,Imported Melons,进口瓜類
4,Fruits,水果,水果,4.5,Grapes/Stone Fruits,葡萄/核果类,葡萄/核果類,25,Grapes,葡萄類,30202501,Domestic Grapes,本地葡萄類
4,Fruits,水果,水果,4.5,Grapes/Stone Fruits,葡萄/核果类,葡萄/核果類,25,Grapes,葡萄類,30202502,Imported Grapes,进口葡萄類
4,Fruits,水果,水果,4.5,Grapes/Stone Fruits,葡萄/核果类,葡萄/核果類,29,Stone Fruits,核果類,30202901,Domestic Stone Fruit,本地核果類
4,Fruits,水果,水果,4.5,Grapes/Stone Fruits,葡萄/核果类,葡萄/核果類,29,Stone Fruits,核果類,30202902,Imported Stone Fruit,进口核果類
4,Fruits,水果,水果,4.6,Tropical Fruits,热带水果,熱帶水果,30,Tropical Fruit,熱帶水果,30203001,Drmst Tropical Fruit,本地熱帶水果
4,Fruits,水果,水果,4.6,Tropical Fruits,热带水果,熱帶水果,30,Tropical Fruit,熱帶水果,30203002,Imprt Tropical Fruit,进口熱帶水果
4,Fruits,水果,水果,4.7,Organics/Others,有机水果/其他,有機水果/其他,31,Organic Fruit,有機水果類,30203101,Organic Fruit,有機水果類
4,Fruits,水果,水果,4.7,Organics/Others,有机水果/其他,有機水果/其他,32,Other Fruit,其他水果類,30203201,Other Fruit,其他水果類
4,Fruits,水果,水果,4.7,Organics/Others,有机水果/其他,有機水果/其他,41,Fresh Fruit Cup,鮮果切,30204101,Fresh Fruit Cup,鮮果切
4,Fruits,水果,水果,4.7,Organics/Others,有机水果/其他,有機水果/其他,41,Fresh Fruit Cup,鮮果切,30204102,Fresh Fruit Cup Mix,鮮果切拼盤
4,Fruits,水果,水果,4.7,Organics/Others,有机水果/其他,有機水果/其他,39,Mixed Fruit Gift Box,果籃類,30203901,Mixed Fruit Gift Box,果籃類
5,Meat,肉类,肉類,5.1,XXXXX,预留位,預留位,,,,,,
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102101,Fr Cut Boneless pork,鮮切豬肉
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102102,Fresh Cut pork Belly,鮮切割豬肉類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102103,Fresh Cut pork Rib,鮮切割豬排骨類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102104,Fresh Cut pork Bones,鮮切割豬筒骨/湯骨類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102105,Fresh Ground pork ,鮮豬肉餡
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102106,Fresh Slice Pork ,鮮豬肉切片類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102107,Mat. Half carcass,原料鮮半片豬
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102108,Material Pork Rear,原料鮮豬後段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102109,Material Pork Middle,原料鮮豬中段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102110,Material Pork Front,原料鮮豬前段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102111,Fr Ct Blk pork Belly,黑豚鮮切割五花類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102112,Fr Cut Blk pork Rib,黑豚鮮切割排骨類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102113,Fr Cut Blk pork Bone,黑豚鮮切割豬筒骨/湯骨類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102114,Fr Ground Blk Pork,黑豚鮮豬肉餡
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102115,Fr Slice Black Pork,黑豚鮮豬肉切片類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102116,Fr Cut Black pork ,黑豚鮮切黑豬肉
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102117,Mat. Black Pork Rear,原料鲜黑豚鮮後段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102118,Mat. Blk Pork Middle,原料鲜黑豚鮮中段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102119,Mat. Blk Pork Front,原料鲜黑豚鮮前段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102120,Frz Grnd Black pork,黑豚凍豬肉餡
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102121,Frz Slice Black Pork,黑豚凍豬肉切片類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102122,Fresh marinate Pork,鮮腌製豬肉
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102123,Fresh Pork Organs,鮮豬内臟類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102124,Frozen Pork Belly,凍豬肉類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102125,Frozen Pork Rib,凍豬排骨類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102126,Frozen Pork Bones,凍豬筒骨/湯骨類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102127,Frozen Ground Pork ,凍豬肉餡
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102128,Frozen slice Pork ,凍豬肉切片類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102129,Frozen Pork Organs,凍豬内臟類
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102130,Frz Mat. Pork Rear,原料凍豬後段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102131,Frz Mat Pork Middle,原料凍豬中段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102132,Frz Mat. Pork Front,原料凍豬前段
5,Meat,肉类,肉類,5.2,Pork,猪肉,豬肉,21,Pork,豬肉類,20102199,Meat dept. key,0
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102201,Fresh boneless Beef,鮮切割牛肉類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102202,Fresh bone in beef,鮮切帶骨牛肉類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102203,Fresh Beef bone,鮮切牛骨類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102204,Fresh Beef Steak,鮮切牛排類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102205,Fr Steak USDA Choice,鮮切牛排類USDA Choice
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102206,Fr Steak USDA Prime,鮮切牛排類USDA Prime
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102207,Material Fresh Beef,原料鮮部位牛肉
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102208,Fresh Beef Steak CAB,鮮切黑毛牛牛排類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102209,Fr Beef Steak Wagyu,鮮切和牛牛排類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102210,Fr Steak JP Wagyu,鮮切日本和牛牛排類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102211,Fresh Slice Beef,鮮牛肉切片類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102212,Fr Slice Beef Choice,鮮牛肉切片類USDA Choice
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102213,Fr Slice Beef Prime,鮮牛肉切片類USDA Prime
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102214,Fresh Slice Beef CAB,鮮黑毛牛牛肉切片類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102215,Fr Slice Beef Wagyu,鮮和牛牛肉切片類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102216,Fr Slice Beef JP Wag,鮮日本和牛牛肉切片類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102217,Mat Fresh Wagyu Beef,原料鮮部位和牛肉
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102218,Fresh Oxtail,鮮切牛尾骨
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102219,Fresh Ground Beef,鮮牛肉餡
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102220,Fr Grnd Beef Choice,鮮牛肉餡USDA Choice
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102221,Fr Ground Beef Wagyu,鮮和牛牛肉餡
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102222,Fresh marinate Beef,鮮腌製牛肉
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102223,Fresh Beef Organs,鮮牛肉臟類
