CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Bakery,烘焙,烘焙,Bread/Toast,麵包/吐司,面包/吐司,21,Fresh Bread,自製麵包類,50102101,Toast,吐司
Bakery,烘焙,烘焙,Bread/Toast,麵包/吐司,面包/吐司,21,Fresh Bread,自製麵包類,50102102,Roll,餐包
Bakery,烘焙,烘焙,Bread/Toast,麵包/吐司,面包/吐司,21,Fresh Bread,自製麵包類,50102103,Small Bread,小麵包
Bakery,烘焙,烘焙,Bread/Toast,麵包/吐司,面包/吐司,21,Fresh Bread,自製麵包類,50102104,Danish,丹麥麵包
Bakery,烘焙,烘焙,Bread/Toast,麵包/吐司,面包/吐司,21,Fresh Bread,自製麵包類,50102105,Corissant,可頌
Bakery,烘焙,烘焙,Bread/Toast,麵包/吐司,面包/吐司,21,Fresh Bread,自製麵包類,50102106,European Bread,歐包
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,22,Fresh Cake,自製蛋糕類,50102201,Cream Cake,奶油蛋糕
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,22,Fresh Cake,自製蛋糕類,50102202,Mousse Cake,慕斯蛋糕
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,22,Fresh Cake,自製蛋糕類,50102203,Dessert/Pastries,甜品/糕點
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,23,Fresh Cooler Cake,自製冷藏蛋糕,50102301,Cake Roll,蛋糕卷
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,23,Fresh Cooler Cake,自製冷藏蛋糕,50102302,Cheesecakes,乳酪蛋糕
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,24,Other Cooler Dessert,其他冷藏點心,50102401,Other Cooler dessert,其他冷藏點心
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,25,Fr Rm Temp Dessert,自製常溫點心,50102501,Cup Cake,杯子蛋糕
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,25,Fr Rm Temp Dessert,自製常溫點心,50102502,Chinese Pastry,中式酥餅
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,25,Fr Rm Temp Dessert,自製常溫點心,50102503,Cookies,餅乾
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,25,Fr Rm Temp Dessert,自製常溫點心,50102504,Rice Cake,年糕
Bakery,烘焙,烘焙,Cake,蛋糕,蛋糕,25,Fr Rm Temp Dessert,自製常溫點心,50102505,Oth Rm Temp Desserts,其他常溫點心
Hot Deli,熟食,熟食,Chinese BBQ,明火燒臘,明火烧腊,21,BBQ ,燒臘類,60102101,BBQ BEEF,燒臘牛肉
Hot Deli,熟食,熟食,Chinese BBQ,明火燒臘,明火烧腊,21,BBQ ,燒臘類,60102102,BBQ Lamb,燒臘羊肉
Hot Deli,熟食,熟食,Chinese BBQ,明火燒臘,明火烧腊,21,BBQ ,燒臘類,60102103,BBQ PORK,燒臘豬肉
Hot Deli,熟食,熟食,Chinese BBQ,明火燒臘,明火烧腊,21,BBQ ,燒臘類,60102104,BBQ POULTRY,燒臘禽類
Hot Deli,熟食,熟食,Chinese BBQ,明火燒臘,明火烧腊,21,BBQ ,燒臘類,60102105,BBQ Other,其他燒臘产品
Hot Deli,熟食,熟食,Chinese BBQ,明火燒臘,明火烧腊,21,BBQ ,燒臘類,60102106,BBQ SAUCE/Marinate,燒臘卤水类
Hot Deli,熟食,熟食,Chinese BBQ,明火燒臘,明火烧腊,21,BBQ ,燒臘類,60102107,BBQ COMBO,燒臘飯
Hot Deli,熟食,熟食,Chinese BBQ,明火燒臘,明火烧腊,21,BBQ ,燒臘類,60102199,Hot Deli dept. key,0
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102301,ASIAN ENTREE,東南亞熟食
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102302,JP/KO ENTREE,日韩熟食
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102303,Combo Lunch,快餐
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102304,Fried Food,炸物类
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102305,Hot Entree,热菜类
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102306,Bento,便当
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102307,Breakfast,早餐
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102308,Snack,小吃
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102309,Other Hot Meal,其他热餐食
Hot Deli,熟食,熟食,Bento,便當,便当,23,Hot Meal ,熱餐食,60102310,Service Charge,服務費
Hot Deli,熟食,熟食,Bento,便當,便当,31,Sushi,壽司類,60103101,Sushi,壽司類
Hot Deli,熟食,熟食,Bento,便當,便当,31,Sushi,壽司類,60103102,Sashimi,魚生類
Hot Deli,熟食,熟食,Bento,便當,便当,31,Sushi,壽司類,60103103,Sushi Roll,壽司卷
