CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Beverages,飲品,饮品,Dietary Supplement,保健飲品,保健饮品,61 ,Health Food,保健食品,10606101,Swallow Nest,燕窩
Beverages,飲品,饮品,Dietary Supplement,保健飲品,保健饮品,61,Health Food,保健食品,10606102,Swallow Nest Drink,燕窩飲品
Beverages,飲品,饮品,Dietary Supplement,保健飲品,保健饮品,61,Health Food,保健食品,10606111,Ginseng,人參
Beverages,飲品,饮品,Dietary Supplement,保健飲品,保健饮品,61,Health Food,保健食品,10606112,Ginseng Drink,人參飲品
Beverages,飲品,饮品,Dietary Supplement,保健飲品,保健饮品,61,Health Food,保健食品,10606121,Chicken Essence,雞精
Beverages,飲品,饮品,Dietary Supplement,保健飲品,保健饮品,61,Health Food,保健食品,10606122,Cordyceps,蟲草
Beverages,飲品,饮品,Dietary Supplement,保健飲品,保健饮品,61,Health Food,保健食品,10606131,Other Health Food,其他保健食品
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604101,Inst Noodl Bag ChBrd,速食麵袋裝中系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604102,Inst Vmcll Bag ChBrd,速食粉袋裝中系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604111,Inst Noodl Bag KrBrd,速食粉麵袋裝韓系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604112,Inst Noodl Bag JpBrd,速食粉麵袋裝日系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604113,Inst Noodl Bag ThBrd,速食粉麵裝泰系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604114,Inst Noodl Bag FlBrd,速食粉麵裝菲律賓系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604115,Inst Noodl Bag VnBrd,速食粉麵裝越南系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604121,Inst Noodle Bag Oth,速食粉麵袋裝其他
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604131,InstNoodl Bowl ChBrd,速食麵碗裝中系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604132,InstVmcll Bowl ChBrd,速食粉碗裝中系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604141,InstNoodl Bowl KrBrd,速食粉麵碗裝韓系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604142,InstNoodl Bowl JpBrd,速食粉麵碗裝日系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604143,InstNoodl Bowl ThBrd,速食粉麵碗裝泰系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604144,InstNoodl Bowl FlBrd,速食粉麵碗裝菲律賓系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604145,InstNoodl Bowl VnBrd,速食粉麵碗裝越南系
Instant,速食,速食,Noodles,速食麵,速食面,41 ,Instant Noodle,泡麵,10604151,Inst Noodle Bowl Oth,速食粉麵碗裝其他
Instant,速食,速食,Meal/Soup,速食餐／速食湯,速食餐／速食汤,42 ,Instant Meal,即食餐點,10604201,Instant Rice,自熱米飯
Instant,速食,速食,Meal/Soup,速食餐／速食湯,速食餐／速食汤,42 ,Instant Meal,即食餐點,10604202,Instant Hot Pot,自熱火鍋
Instant,速食,速食,Meal/Soup,速食餐／速食湯,速食餐／速食汤,42 ,Instant Meal,即食餐點,10604203,Instant Congee/Soup,即食粥/湯
Instant,速食,速食,Meal/Soup,速食餐／速食湯,速食餐／速食汤,42 ,Instant Meal,即食餐點,10604211,Other Instant Meal,其他速食餐點
Instant,速食,速食,Rice/Dessert,米飯/粥/甜品,米饭/粥/甜品,55 ,Canned Dessert,甜品罐頭,10605501,Canned Congee,罐頭粥
Instant,速食,速食,Rice/Dessert,米飯/粥/甜品,米饭/粥/甜品,55 ,Canned Dessert,甜品罐頭,10605502,Canned Dessert Soup,罐頭甜湯
Instant,速食,速食,Rice/Dessert,米飯/粥/甜品,米饭/粥/甜品,55 ,Canned Dessert,甜品罐頭,10605503,Herbal Jelly,龜苓膏/仙草
Instant,速食,速食,Rice/Dessert,米飯/粥/甜品,米饭/粥/甜品,55 ,Canned Dessert,甜品罐頭,10605504,Cannned Fl Dessert,罐頭菲律賓甜品
Instant,速食,速食,Rice/Dessert,米飯/粥/甜品,米饭/粥/甜品,55 ,Canned Dessert,甜品罐頭,10605511,Other Canned Dessert,其他甜品罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Seafood/ Meat,魚類/肉類,鱼类/肉类,52 ,Canned Meat,肉類罐頭,10605201,Canned Luncheon Meat,午餐肉罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Seafood/ Meat,魚類/肉類,鱼类/肉类,52 ,Canned Meat,肉類罐頭,10605202,Canned Beef,牛肉罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Seafood/ Meat,魚類/肉類,鱼类/肉类,52 ,Canned Meat,肉類罐頭,10605203,Seasoned Meat Floss,肉鬆
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Seafood/ Meat,魚類/肉類,鱼类/肉类,52 ,Canned Meat,肉類罐頭,10605211,Canned Fish,魚罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Seafood/ Meat,魚類/肉類,鱼类/肉类,52 ,Canned Meat,肉類罐頭,10605212,Seasoned Fish Floss,魚肉鬆
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Seafood/ Meat,魚類/肉類,鱼类/肉类,52 ,Canned Meat,肉類罐頭,10605221,Canned Quail Egg,鵪鶉蛋罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Seafood/ Meat,魚類/肉類,鱼类/肉类,52 ,Canned Meat,肉類罐頭,10605231,Other Canned Meat,其他肉罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Vegetarian,蔬菜類/齋,蔬菜类/斋,53 ,Canned Vegetable,蔬菜罐頭,10605301,Canned Corn,罐頭玉米
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Vegetarian,蔬菜類/齋,蔬菜类/斋,53 ,Canned Vegetable,蔬菜罐頭,10605302,Canned Bean,罐頭豆類
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Vegetarian,蔬菜類/齋,蔬菜类/斋,53 ,Canned Vegetable,蔬菜罐頭,10605303,Canned Bamboo Shoot,罐頭筍
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Vegetarian,蔬菜類/齋,蔬菜类/斋,53 ,Canned Vegetable,蔬菜罐頭,10605311,Other Canned Vege,其他蔬菜罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605401,Canned Pineapple,罐頭鳳梨
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605402,Canned Coconut,罐頭椰子
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605403,Canned Lychee,罐頭荔枝
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605404,Canned Orange,罐頭橘子
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605411,Other Canned Fruit,其他水果罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,32 ,Sauce,調味醬料,10603216,Fermented Bean Curd,豆腐乳
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605101,Pickle Mustard Tuber,榨菜
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605102,Pickled Radish,蘿蔔丁
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605103,Pickled Cucumber,醃黃瓜
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605104,Canned Gluten,罐頭麵筋
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605111,Oth Asia PickledVege,其他亞洲醃漬蔬菜
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605121,Western Pickled Vege,西式醃漬蔬菜
Condiments,調料,调料,Soy Sauce,醬油,酱油,31 ,Liquid Sauce,液體調味料,10603101,Soy/Ssn Sauce Ch Brd,醬油/調味汁中系
Condiments,調料,调料,Soy Sauce,醬油,酱油,31 ,Liquid Sauce,液體調味料,10603102,Soy/Ssn Sauce Tw Brd,醬油/調味汁台系
Condiments,調料,调料,Soy Sauce,醬油,酱油,31 ,Liquid Sauce,液體調味料,10603103,Soy/Ssn Sauce Jp Brd,醬油/調味汁日系
Condiments,調料,调料,Soy Sauce,醬油,酱油,31 ,Liquid Sauce,液體調味料,10603111,Other Soy Sauce,其他醬油
Condiments,調料,调料,Vinegar/Cooking Wine,醋/料酒,醋/料酒,31 ,Liquid Sauce,液體調味料,10603121,Vinegar,醋
Condiments,調料,调料,Vinegar/Cooking Wine,醋/料酒,醋/料酒,31 ,Liquid Sauce,液體調味料,10603131,Cooking Wine,料酒
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602401,Bean Oil,大豆油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602402,Peanut Oil,花生油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602403,Corn Oil,玉米油
