CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Beverages,飲品,饮品,Coffee,咖啡,咖啡,27,Chilled Coffee,冷藏咖啡,10302701,Chill Coffee Mnstrm,冷藏咖啡 主流
Beverages,飲品,饮品,Coffee,咖啡,咖啡,27,Chilled Coffee,冷藏咖啡,10302702,Chilled Coffee Other,冷藏咖啡 其他
Beverages,飲品,饮品,Coffee,咖啡,咖啡,27,Chilled Coffee,冷藏咖啡,10302703,Chilled Coffee Mate,冷藏咖啡伴侶
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,26,Chilled Juice,冷藏果汁,10302601,Chill Orange JC>50%,冷藏橙汁 >50%
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,26,Chilled Juice,冷藏果汁,10302602,Chill Apple JC>50%,冷藏蘋果汁>50%
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,26,Chilled Juice,冷藏果汁,10302603,Chill Cranbry JC>50%,冷藏蔓越莓汁>50%
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,26,Chilled Juice,冷藏果汁,10302604,Chill Grapeft JC>50%,冷藏西柚汁>50%
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,26,Chilled Juice,冷藏果汁,10302605,Chill Grape JC>50%,冷藏葡萄汁>50%
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,26,Chilled Juice,冷藏果汁,10302606,Chill Pomgrnt JC>50%,冷藏石榴汁>50%
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,26,Chilled Juice,冷藏果汁,10302607,Chill Mixed JC>50%,冷藏混合果汁>50%
