CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104101,Moonck Domes Canto,常溫月餅美國本土廣式
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104102,Moonck Domes VnStyle,常溫月餅美國本土越式
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104111,Moonck ChImpt Suzhou,常溫月餅中國進口蘇式
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104112,Moonck ChImpt Canto,常溫月餅中國進口廣式
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104113,Moonck ChImpt Bj Sty,常溫月餅中國進口京式
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104121,Mooncake Vn Import,常溫月餅越南進口
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104122,Mooncake Tw Import,常溫月餅台灣進口
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104131,Frz Mooncake Durian,冷凍月餅榴蓮
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104132,Frz Mooncake Other,冷凍月餅冰皮
Seasonal,季節限定,季节限定,Mooncake,中秋月餅,中秋月饼,41,Mooncake,月餅,10104141,Other Mooncake,其他月餅
Beverages,飲品,饮品,Coffee,咖啡,咖啡,33,Drink Powder,沖泡飲料,10103331,InstCoff wosugarmilk,即溶咖啡無糖奶
Beverages,飲品,饮品,Coffee,咖啡,咖啡,33,Drink Powder,沖泡飲料,10103332,InstCoffee sugarmilk,即溶咖啡含糖奶
Beverages,飲品,饮品,Coffee,咖啡,咖啡,33,Drink Powder,沖泡飲料,10103333,Coffee Bean/Powder,咖啡豆/咖啡粉
Beverages,飲品,饮品,Coffee,咖啡,咖啡,57,Coffee&Energy Drink,咖啡/能量飲料,10105701,Coffee Drink Mnstr,咖啡飲品主流
Beverages,飲品,饮品,Coffee,咖啡,咖啡,57,Coffee&Energy Drink,咖啡/能量飲料,10105711,Coffee Drink Other,咖啡飲品其他
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103401,TeaBag Mnstr BlGrOol,茶包主流紅綠烏
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103402,TeaBag Mnstr FrtHbl,茶包主流水果花草
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103403,TeaBag Asian BlGrOol,茶包亞洲紅綠烏
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103404,TeaBag Asian FrtHbl,茶包亞洲水果花草
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103411,Tea Bag Other,茶包其他
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103421,Tea Leaf Black Tea,茶葉紅茶
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103422,Tea Leaf Green Tea,茶葉綠茶
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103423,Tea Leaf Oolong Tea,茶葉烏龍茶
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103424,Tea Leaf Floral Tea,茶葉花茶
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103425,Tea Leaf Fruits,茶葉水果
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103431,Tea Leaf Other,茶葉其他
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103441,Milk Tea Powder,奶茶粉
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103442,Matcha Powder,抹茶粉
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103443,Ginger Tea,薑茶
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103444,Fruit Honey Tea,水果蜜茶
Beverages,飲品,饮品,Tea,茶,茶,34,Tea Leaf & Bag,茶葉/茶包,10103451,Other Tea Leaf & Bag,其他茶葉茶包
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105301,Tea Drink Mnstr,茶飲料主流
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105302,Tea Drink Ch Brand,茶飲料中系
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105303,Tea Drink Tw Brand,茶飲料台系
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105304,Tea Drink Kr Brand,茶飲料韓系
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105305,Tea Drink Jp Brand,茶飲料日系
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105311,Tea Drink Other Brd,茶飲料其他
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105321,Milk Tea Drink,奶茶
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105331,Aloe Drink,蘆薈飲料
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105332,Herbal Tea,涼茶
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105341,Other Plant Drink,其他草本飲料
Beverages,飲品,饮品,Tea,茶,茶,53,Tea,茶飲料,10105351,Other Tea Drink,其他茶飲料
Beverages,飲品,饮品,Soda ,汽水,汽水,51,Soda,汽水,10105101,CSD Mnstr MPk Ea<2L,碳酸飲料主流多瓶裝(單瓶<2L)
Beverages,飲品,饮品,Soda ,汽水,汽水,51,Soda,汽水,10105102,CSD Mnstr SPk <2L,碳酸飲料主流單瓶裝<2L
Beverages,飲品,饮品,Soda ,汽水,汽水,51,Soda,汽水,10105103,CSD Mnstr Each>=2L,碳酸飲料主流單瓶裝>=2L
Beverages,飲品,饮品,Soda ,汽水,汽水,51,Soda,汽水,10105111,CSD Asian Brand,碳酸飲料亞系
Beverages,飲品,饮品,Soda ,汽水,汽水,51,Soda,汽水,10105121,Sparkling Water,氣泡水
Beverages,飲品,饮品,Soda ,汽水,汽水,51,Soda,汽水,10105122,Ramune Soda,彈珠汽水
Beverages,飲品,饮品,Soda ,汽水,汽水,51,Soda,汽水,10105123,SodaWater TonicWater,蘇打水/通寧水
Beverages,飲品,饮品,Soda ,汽水,汽水,51,Soda,汽水,10105131,Oth Carbonated Drink,其他碳酸飲料
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105201,Spring Wt MPk Ea<2L,泉水多瓶裝(單瓶<2L)
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105202,Spring Wt SPk <2L,泉水單瓶裝<2L
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105203,Spring Wt Each>=2L,泉水單瓶裝>=2L
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105211,MineralWt MPk Ea<2L,礦泉水多瓶裝(單瓶<2L)
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105212,MineralWt SPk <2L,礦泉水單瓶裝<2L
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105213,MineralWt Each>=2L,礦泉水單瓶裝>=2L
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105221,Purifd Wt MPk Ea<2L,純淨水多瓶裝(單瓶<2L)
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105222,Purifd Wt SPk <2L,純淨水單瓶裝<2L
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105223,Purifd Wt Each>=2L,純淨水單瓶裝>=2L
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105231,Alkaline Water,鹼性水
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105232,Natrl SpklWt/Seltzer,天然氣泡水
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,52,Water,飲用水,10105241,Other Bottled Water,其他水
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,54,Juice,果汁,10105401,Condensed Juice,濃縮果汁
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,54,Juice,果汁,10105411,Juice >50% Mnstr Brd,果汁含量>50%主流
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,54,Juice,果汁,10105412,Juice >50% Other Brd,果汁含量>50%其他
Beverages,飲品,饮品,Juice/Water,果汁/礦泉水,果汁/矿泉水,54,Juice,果汁,10105421,Juice <=50% MnstrBrd,果汁含量<=50%主流
