CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,44,Wrap,保鮮膜/袋,10504401,Food Storage Bag,食品儲藏袋
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,44,Wrap,保鮮膜/袋,10504402,Wrap,保鮮膜
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,44,Wrap,保鮮膜/袋,10504403,Foil,錫紙
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506501,Turner,鍋鏟
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506502,Ladel,湯勺
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506503,Skimmer,漏勺
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506504,Rice Spoon,飯勺
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506505,Egg Beater,打蛋器
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506506,Tong & Dish Clips,鐵夾/碗夾
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506507,Steam Rack,蒸架
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506508,Steamer Paper,蒸籠紙
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506509,Cheesecloth,料袋
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506511,BBQ Tools,燒烤工具
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506512,Baking Tools,烘焙工具
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506513,Baking Tray,烤盤
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506521,Table Mat/Coaster,隔熱桌墊/杯墊
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506522,Oven Mitts,隔熱手套
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506531,Chopper Knife,菜刀
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506532,Bread Knife,麵包刀
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506533,Fruit Knife,水果刀
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506534,Peeler,刨刀
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506535,Kitchen Scissors,廚用剪刀
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506536,Knives Set,刀具套組
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506537,Knife Sharpner,磨刀棒
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506538,Bottle Opener,開瓶器
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506541,Cutting Board Wood,菜板木質
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506542,Cutting Board Bamboo,菜板竹質
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506543,CuttingBoard Plastic,菜板塑膠
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506544,Rolling Pin,擀麵杖
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,65,Kitchen Gadgets,廚房用具,10506551,Other Kitchen Gadget,其他廚房用具
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,68,Plastic Houseware,塑膠用品,10506811,Seasoning Bottle,調味瓶
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,68,Plastic Houseware,塑膠用品,10506812,Oil Bottle,油壺
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506101,Frying Pan 26cm/Less,炒鍋26釐米及以下
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506102,Frying Pan 28cm,炒鍋28釐米
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506103,Frying Pan 30cm,炒鍋30釐米
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506104,Frying Pan 32cm/More,炒鍋32釐米及以上
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506111,Soup Pot,湯鍋
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506112,Single Handle Pot,單柄鍋/奶鍋
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506113,Steamer,蒸鍋/蒸籠
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506114,Casserole,砂鍋
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506121,Pan Lid,鍋蓋
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506122,Stove Liner,鋁爐墊/瓦斯鋁爐防油墊
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506131,Portable Stove,瓦斯爐
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506132,Butane Gas,瓦斯罐
Home,日用百貨,日用百货,Kitchenware,廚房用品,厨房用品,61,Cookware,鍋具,10506133,BBQ Grill,烤架
