LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Vegetable,蔬菜,蔬菜,Greens,葉菜,叶菜,22,Leaf,葉菜類,30102201,Leaf Vegetable,葉菜類
Vegetable,蔬菜,蔬菜,Vegetables,非葉菜,非叶菜,21,Root,根莖類,30102101,Root,根莖類
Vegetable,蔬菜,蔬菜,Vegetables,非葉菜,非叶菜,32,Stem/Tuber Vegetable,莖類,30103201,Stem/Tuber Vegetable,莖類
Vegetable,蔬菜,蔬菜,Vegetables,非葉菜,非叶菜,24,Botanical Fruit,果實瓜類,30102401,Botanical Fruit,果實瓜類
Vegetable,蔬菜,蔬菜,Vegetables,非葉菜,非叶菜,28,Flower Vegetable,花菜類,30102801,Flower Vegetable,花菜類
Vegetable,蔬菜,蔬菜,Vegetables,非葉菜,非叶菜,31,Seed/Sprout,種子類/芽苗類,30103101,Seed/Sprout,種子類/芽苗類
Vegetable,蔬菜,蔬菜,Mushrooms,菌菇類,菌菇类,26,Mushroom,蘑菇類,30102601,Mushroom,蘑菇類
Vegetable,蔬菜,蔬菜,Herbs,香辛料,香辛料,29,Bulb,球莖類,30102901,Bulb,球莖類
Vegetable,蔬菜,蔬菜,Herbs,香辛料,香辛料,23,Spicy,調味類,30102301,Spicy,調味類
Vegetable,蔬菜,蔬菜,Herbs,香辛料,香辛料,30,Herb Vegetable,草本植物,30103001,Herb Vegetable,草本植物
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,33,Organic Vegetable,有機蔬菜,30103301,Organic Vegetable,有機蔬菜
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,34,Prepared Vegetable,净菜類,30103401,Prepared Vegetable,净菜類
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,35,Salad,色拉,30103501,Salad,色拉
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,35,Salad,色拉,30103599,Produce dept. key,0
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,27,Nut,堅果類,30102701,Nut,堅果類
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,25,Grains/Legumes,穀物豆類,30102501,Grains/Legumes,穀物豆類
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,41,Cutted Flower,花束,30104101,Fresh Flower,鮮花
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,41,Cutted Flower,花束,30104102,Flower Bouquets,花束
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,42,Potted Plant,盆栽植物,30104201,Potted Flower ,盆栽花
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,42,Potted Plant,盆栽植物,30104202,Potted Plant,盆栽植物
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,42,Potted Plant,盆栽植物,30104203,Potted Fruit Tree,盆栽果樹
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,42,Potted Plant,盆栽植物,30104204,Potted Tree,盆栽樹
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,43,Garden Supplies,園藝用品,30104301,Garden Tool,園藝工具
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,43,Garden Supplies,園藝用品,30104302,Fertilizer,肥料
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,43,Garden Supplies,園藝用品,30104303,Accessories,配件
Vegetable,蔬菜,蔬菜,Others Vegetable,其他蔬菜,其他蔬菜,43,Garden Supplies,園藝用品,30104304,Seeds,種子
Fruit,水果,水果,Stone Fruits,果核水果,果核水果,29,Stone Fruits,核果類,30202901,Domestic Stone Fruit,本地核果類
Fruit,水果,水果,Stone Fruits,果核水果,果核水果,29,Stone Fruits,核果類,30202902,Imported Stone Fruit,进口核果類
Fruit,水果,水果,Apples,蘋果,苹果,21,Apple,蘋果類,30202101,Domestic Apple,本地蘋果類
Fruit,水果,水果,Apples,蘋果,苹果,21,Apple,蘋果類,30202102,Imported Apple,进口蘋果類
Fruit,水果,水果,Pears,梨,梨,28,Pears,梨類,30202801,Domestic Pears,本地梨類
Fruit,水果,水果,Pears,梨,梨,28,Pears,梨類,30202802,Imported Pears,进口梨類
Fruit,水果,水果,Melons,瓜,瓜,26,Melons,瓜類,30202601,Domestic Melons,本地瓜類
Fruit,水果,水果,Melons,瓜,瓜,26,Melons,瓜類,30202602,Imported Melons,进口瓜類
Fruit,水果,水果,Grapes,葡萄,葡萄,25,Grapes,葡萄類,30202501,Domestic Grapes,本地葡萄類
Fruit,水果,水果,Grapes,葡萄,葡萄,25,Grapes,葡萄類,30202502,Imported Grapes,进口葡萄類
Fruit,水果,水果,Berries,莓子,莓子,23,Berries,漿果類,30202301,Domestic Berries,本地漿果類
Fruit,水果,水果,Berries,莓子,莓子,23,Berries,漿果類,30202302,Imported Berries,进口漿果類
Fruit,水果,水果,Citrus,柑橘,柑橘,24,Citrus,柑橘類,30202401,Domestic Citrus,本地柑橘類
Fruit,水果,水果,Citrus,柑橘,柑橘,24,Citrus,柑橘類,30202402,Imported Citrus,进口柑橘類
Fruit,水果,水果,Tropical,熱帶水果,热带水果,22,Bananas,香蕉類,30202201,Domestic Bananas,本地香蕉類
Fruit,水果,水果,Tropical,熱帶水果,热带水果,22,Bananas,香蕉類,30202202,Imported Bananas,进口香蕉類
Fruit,水果,水果,Tropical,熱帶水果,热带水果,30,Tropical Fruit,熱帶水果,30203001,Drmst Tropical Fruit,本地熱帶水果
